"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","Verify that user without token can not receive uploaded image","Surefire suite","Wed Aug 06 16:13:29 UTC 2025","failed","Wed Aug 06 16:13:29 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.get.GetUploadedImageWithoutTokenNegativeTest","Surefire test","com.thecatapi.api.systemtests.images.uploaded.get.GetUploadedImageWithoutTokenNegativeTest","verifyGetUploadedImageWithoutTokenNegativeTest"
"Verify that user can not delete not owned image","2192","verifyDeleteUploadedImageNegativeTest","Surefire suite","Wed Aug 06 16:13:26 UTC 2025","passed","Wed Aug 06 16:13:28 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageNegativeTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageNegativeTests","verifyDeleteUploadedImageNegativeTest"
"","3379","Verify that user able receive uploaded image","Surefire suite","Wed Aug 06 16:13:28 UTC 2025","passed","Wed Aug 06 16:13:32 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.get.GetUploadedImagesPositiveTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.get.GetUploadedImagesPositiveTests","verifyGetUploadedImagesPositiveTest"
"Verify that user able to upload image with image and breedId","7038","verifyUploadNewImageTest","Surefire suite","Wed Aug 06 16:13:29 UTC 2025","passed","Wed Aug 06 16:13:36 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","verifyUploadNewImageTest"
"Verify that user can not upload image with incorrect breedIds","3137","verifyUploadNewImageNegativeTest","Surefire suite","Wed Aug 06 16:13:32 UTC 2025","failed","Wed Aug 06 16:13:35 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageNegativeTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageNegativeTests","verifyUploadNewImageNegativeTest"
"","2365","Verify that user without token can not remove uploaded image","Surefire suite","Wed Aug 06 16:13:26 UTC 2025","passed","Wed Aug 06 16:13:28 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageWithoutTokenNegativeTest","Surefire test","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageWithoutTokenNegativeTest","verifyDeleteUploadedImageWithoutTokenNegativeTest"
"Verify that user able to upload image with all fields","7035","verifyUploadNewImageTest","Surefire suite","Wed Aug 06 16:13:29 UTC 2025","passed","Wed Aug 06 16:13:36 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","verifyUploadNewImageTest"
"Verify that user can not delete not existed image","2261","verifyDeleteUploadedImageNegativeTest","Surefire suite","Wed Aug 06 16:13:26 UTC 2025","failed","Wed Aug 06 16:13:29 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageNegativeTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImageNegativeTests","verifyDeleteUploadedImageNegativeTest"
"Verify that user can not upload image without required fields","545","verifyUploadNewImageNegativeTest","Surefire suite","Wed Aug 06 16:13:32 UTC 2025","passed","Wed Aug 06 16:13:33 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageNegativeTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageNegativeTests","verifyUploadNewImageNegativeTest"
"","247","Verify that user without token can not upload new image","Surefire suite","Wed Aug 06 16:13:32 UTC 2025","passed","Wed Aug 06 16:13:32 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageWithoutTokenNegativeTest","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImageWithoutTokenNegativeTest","verifyUploadNewImageWithoutTokenNegativeTest"
"Verify that user able to upload image with only required fields","7094","verifyUploadNewImageTest","Surefire suite","Wed Aug 06 16:13:29 UTC 2025","passed","Wed Aug 06 16:13:36 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","verifyUploadNewImageTest"
"Verify that user able to upload image with image and subId","7073","verifyUploadNewImageTest","Surefire suite","Wed Aug 06 16:13:29 UTC 2025","passed","Wed Aug 06 16:13:36 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","Surefire test","com.thecatapi.api.systemtests.images.uploaded.upload.UploadNewImagePositiveTests","verifyUploadNewImageTest"
"","1861","Verify that user able to remove uploaded image","Surefire suite","Wed Aug 06 16:13:33 UTC 2025","passed","Wed Aug 06 16:13:35 UTC 2025","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImagePositiveTest","Surefire test","com.thecatapi.api.systemtests.images.uploaded.delete.DeleteUploadedImagePositiveTest","verifyDeleteUploadedImagePositiveTest"
